Voter ID;Jan Sedláček (stud PrF MU);David Vyhlídal (stud PrF MU);Šárka Vyskočilová (stud PrF MU);Kryštof Zika (stud PrF MU);Kateřina Audyová (stud PrF MU);Matyáš Ličeník (stud PrF MU);Barbora Bulánková (stud PrF MU);Lucie Králová (stud PrF MU);Tomáš Neugebauer (stud PrF MU);Martin Plášek (stud PrF MU);Karolína Šandorová (stud PrF MU);Jan Zubík (stud PrF MU);Roman Karchut (stud PrF MU);Nevenka Petříčková (stud PrF MU);Martin Zigmund (stud PrF MU, ESF MU);Tereza Vodičková (stud PrF MU);Robin Kašpar (stud PrF MU);Boris Šabík (stud PrF MU);Adam Jelínek (stud PrF MU);Adam Jasiok (stud PrF MU);Jan Dzuba (stud PrF MU);Jakub Nováček (stud PrF MU);Jan Schraml (stud PrF MU);Dominik Kalouda (stud PrF MU);Albert Jilg (stud PrF MU);Vítek Souchop (stud PrF MU);Kristýna Bohlová (stud PrF MU);Tomáš Pospíšil (stud PrF MU)
aajxqq9m8k;X;;;;;;;;;;;;;;X;X;;;;;;;;;;;X;
abv7vzrjgb;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
aensugma0v;;;;;;;;;;;X;;;;;;;;;;;;;;;X;;X
akhfgq69eg;;;X;;X;;X;;;;X;;;;;;;;;;;;;;;;;
akhfqohjew;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
am1n8x87vq;;X;X;;;X;;;;;X;X;;;X;;X;X;;;;;;;;;;
apkw7ha5jd;;;X;;X;;;;;;;;X;X;X;;;;;X;;;;X;;X;;
aupwtxyjel;;;;;;;;;;;X;;;;;X;X;;;;;X;;;;;;
auvsh5wg3w;;X;;;;X;;;X;;;;;;X;;;;;;;;;;;;;
awcjc37esy;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
a1tmr1v336;X;;;;;;;;;;X;;;;;;;;X;;;;;;;;;
a4u6y25gr0;;;;;X;;X;X;;;X;;;X;;;;X;;;;;;;;;X;
a40ilaadem;;;;;;;;;X;X;X;;;;;;X;;;;;X;;;;;X;
a5yaoe7h08;;;;X;;;;;X;;;;;X;;;;;;;;;;;;;;
a7rntkc9sl;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
a7yk58fqyt;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
bba1l59log;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
bc93v4mdj6;X;;;;;;;;X;X;;;;;;;;;;;;;;X;;X;;
bg9imi4igi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
bi4f922aig;;;;;;X;;;;;;;;;;;;;;;;;;;X;X;;X
bjgp8bipfs;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
bkisjhpm68;;;;X;X;;X;;;;X;X;;X;;;;;;;;;;;;;;
bk90nqjhf3;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;
blc3rxfif8;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;
